Date,Action,Price,Shares,Trade Amount,Bankroll,Confidence,Kelly Fraction,Profit,Loss Percentage
2023-04-19,BUY,167.63,0.0,0.0,10000.0,0.60800076,,,
2023-05-12,SELL,172.57,0.0,0.0,10000.0,0.62088156,,0.0,
2023-07-12,BUY,189.77,0.0,0.0,10000.0,0.60705876,,,
2023-08-04,STOP_LOSS,181.99,0.0,0.0,10000.0,0.5840507,,0.0,-4.099699636401961
2023-11-27,BUY,189.79,0.0,0.0,10000.0,0.61521554,,,
2024-01-04,STOP_LOSS,181.91,0.0,0.0,10000.0,0.5632761,,0.0,-4.15195742662943
2024-02-02,BUY,185.85,0.0,0.0,10000.0,0.6305064,,,
2024-03-01,STOP_LOSS,179.66,0.0,0.0,10000.0,0.60925996,,0.0,-3.33064299165994
2024-05-24,BUY,189.98,0.0,0.0,10000.0,0.62514126,,,
2024-06-25,SELL,209.07,0.0,0.0,10000.0,0.6020778,,0.0,
2024-07-23,BUY,225.01,0.0,0.0,10000.0,0.60820174,,,
2024-07-25,STOP_LOSS,217.49,0.0,0.0,10000.0,0.518383,,0.0,-3.3420736856139643
2024-07-26,BUY,217.96,0.0,0.0,10000.0,0.63009244,,,
2024-08-05,STOP_LOSS,209.27,0.0,0.0,10000.0,0.5262528,,0.0,-3.9869700862543573
2024-08-15,BUY,224.72,0.0,0.0,10000.0,0.6214446,,,
2024-09-16,STOP_LOSS,216.32,0.0,0.0,10000.0,0.5363252,,0.0,-3.73798504805981
2024-09-18,BUY,220.69,0.0,0.0,10000.0,0.6226714,,,
2024-12-31,SELL,250.42,0.0,0.0,10000.0,0.5434328,,0.0,
